month,payment,principal_returned,interest_to_date,principal_outstanding,total_paid_to_date
0,0.00,0.00,0.00,100000.00,0.00
1,1833.33,0.00,1833.33,100000.00,1833.33
2,1833.33,0.00,3666.66,100000.00,3666.66
3,1833.33,0.00,5499.99,100000.00,5499.99
4,1833.33,0.00,7333.32,100000.00,7333.32
5,1833.33,0.00,9166.65,100000.00,9166.65
6,1833.33,0.00,10999.98,100000.00,10999.98
7,1833.33,0.00,12833.31,100000.00,12833.31
8,1833.33,0.00,14666.64,100000.00,14666.64
9,1833.33,0.00,16499.97,100000.00,16499.97
10,1833.33,0.00,18333.30,100000.00,18333.30
11,1833.33,0.00,20166.63,100000.00,20166.63
12,1833.37,100000.00,22000.00,0.00,122000.00
