month,payment,principal_returned,interest_to_date,principal_outstanding,value_returned_to_date
0,0.00,0.00,0.00,100000.00,100000.00
1,1833.33,0.00,1833.33,100000.00,101833.33
2,1833.33,0.00,3666.66,100000.00,103666.66
3,1833.33,0.00,5499.99,100000.00,105499.99
4,1833.33,0.00,7333.32,100000.00,107333.32
5,1833.33,0.00,9166.65,100000.00,109166.65
6,1833.33,0.00,10999.98,100000.00,110999.98
7,1833.33,0.00,12833.31,100000.00,112833.31
8,1833.33,0.00,14666.64,100000.00,114666.64
9,1833.33,0.00,16499.97,100000.00,116499.97
10,1833.33,0.00,18333.30,100000.00,118333.30
11,1833.33,0.00,20166.63,100000.00,120166.63
12,1833.33,0.00,21999.96,100000.00,121999.96
13,1833.33,0.00,23833.29,100000.00,123833.29
14,1833.33,0.00,25666.62,100000.00,125666.62
15,1833.33,0.00,27499.95,100000.00,127499.95
16,1833.33,0.00,29333.28,100000.00,129333.28
17,1833.33,0.00,31166.61,100000.00,131166.61
18,1833.33,0.00,32999.94,100000.00,132999.94
19,1833.33,0.00,34833.27,100000.00,134833.27
20,1833.33,0.00,36666.60,100000.00,136666.60
21,1833.33,0.00,38499.93,100000.00,138499.93
22,1833.33,0.00,40333.26,100000.00,140333.26
23,1833.33,0.00,42166.59,100000.00,142166.59
24,1833.41,100000.00,44000.00,0.00,144000.00
